Geneset	Score	Score Type	Method	Validation Split	Geneset Collection	Network
ACYLGLYCEROL_METABOLIC_PROCESS	-0.014559	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	-inf	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.531057	auROC	SL-A-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	1.765545	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	3.257380	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.711822	auROC	SL-A-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.643062	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	5.826040	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.835194	auROC	SL-A-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.494286	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	5.144220	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.794610	auROC	SL-A-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	2.247018	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	2.592365	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.763860	auROC	SL-A-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	3.408677	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	4.387282	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.817126	auROC	SL-A-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	5.121097	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	5.403093	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.816950	auROC	SL-A-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.817271	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	4.162031	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.839924	auROC	SL-A-LR	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	1.762540	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	3.298582	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	0.644685	auROC	SL-A-LR	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	2.902532	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	3.107597	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	0.666583	auROC	SL-A-LR	5FCV	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	0.749663	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	-inf	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	0.618651	auROC	SL-A-LR	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	2.671004	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	3.506654	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	0.788199	auROC	SL-A-LR	5FCV	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	2.635709	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	4.166715	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	0.472732	auROC	SL-A-LR	Holdout	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	3.912268	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	4.447191	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
CELL_JUNCTION_ASSEMBLY	0.753264	auROC	SL-A-LR	5FCV	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	3.787785	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	4.152647	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	0.743783	auROC	SL-A-LR	Holdout	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	3.460260	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	3.691093	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
CELL_SUBSTRATE_ADHESION	0.783334	auROC	SL-A-LR	5FCV	GOBP	BioGRID
CELLULAR_RESPIRATION	4.748621	auPRC	SL-A-LR	Holdout	GOBP	BioGRID
CELLULAR_RESPIRATION	4.696736	P@TopK	SL-A-LR	Holdout	GOBP	BioGRID
CELLULAR_RESPIRATION	0.908439	auROC	SL-A-LR	Holdout	GOBP	BioGRID
CELLULAR_RESPIRATION	5.453693	auPRC	SL-A-LR	5FCV	GOBP	BioGRID
CELLULAR_RESPIRATION	5.398802	P@TopK	SL-A-LR	5FCV	GOBP	BioGRID
