Geneset	Score	Score Type	Method	Validation Split	Geneset Collection	Network
ACYLGLYCEROL_METABOLIC_PROCESS	-0.250604	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	-inf	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.465936	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	1.222488	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	3.257380	P@TopK	SL-A-SVM	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.649055	auROC	SL-A-SVM	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.287669	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.241077	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.840962	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.168454	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	5.433727	P@TopK	SL-A-SVM	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.716153	auROC	SL-A-SVM	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	1.683864	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	-inf	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.714661	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	2.270151	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	3.802319	P@TopK	SL-A-SVM	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.748324	auROC	SL-A-SVM	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.589942	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	4.595738	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.847943	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.278797	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.472371	P@TopK	SL-A-SVM	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.773061	auROC	SL-A-SVM	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	1.219281	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	2.561616	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	0.655416	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	2.276839	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	2.785669	P@TopK	SL-A-SVM	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	0.639266	auROC	SL-A-SVM	5FCV	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	1.557031	auPRC	SL-A-SVM	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	2.495411	P@TopK	SL-A-SVM	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	0.596692	auROC	SL-A-SVM	Holdout	GOBP	BioGRID
CALCIUM_ION_TRANSPORT	2.399664	auPRC	SL-A-SVM	5FCV	GOBP	BioGRID
