Geneset	Score	Score Type	Method	Validation Split	Geneset Collection	Network
ACYLGLYCEROL_METABOLIC_PROCESS	3.965827	auPRC	SL-E-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	3.760812	P@TopK	SL-E-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.70494	auROC	SL-E-LR	Holdout	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	1.821506	auPRC	SL-E-LR	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	3.842343	P@TopK	SL-E-LR	5FCV	GOBP	BioGRID
ACYLGLYCEROL_METABOLIC_PROCESS	0.702527	auROC	SL-E-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.394459	auPRC	SL-E-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	5.241077	P@TopK	SL-E-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.80521	auROC	SL-E-LR	Holdout	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	4.879495	auPRC	SL-E-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	5.296224	P@TopK	SL-E-LR	5FCV	GOBP	BioGRID
ADHERENS_JUNCTION_ORGANIZATION	0.808599	auROC	SL-E-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	2.245746	auPRC	SL-E-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	3.592365	P@TopK	SL-E-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.697027	auROC	SL-E-LR	Holdout	GOBP	BioGRID
AMINO_ACID_TRANSPORT	2.713202	auPRC	SL-E-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	4.124247	P@TopK	SL-E-LR	5FCV	GOBP	BioGRID
AMINO_ACID_TRANSPORT	0.765272	auROC	SL-E-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.278583	auPRC	SL-E-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	4.595738	P@TopK	SL-E-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.76457	auROC	SL-E-LR	Holdout	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.173462	auPRC	SL-E-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	3.605638	P@TopK	SL-E-LR	5FCV	GOBP	BioGRID
ANTIGEN_PROCESSING_AND_PRESENTATION	0.820507	auROC	SL-E-LR	5FCV	GOBP	BioGRID
APOPTOTIC_SIGNALING_PATHWAY	1.028712	auPRC	SL-E-LR	Holdout	GOBP	BioGRID
