Geneset	Score	Score Type	Method	Validation Split	Geneset Collection	Network
ABNORMAL_AMINO_ACID_LEVEL	0.581835	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_AMINO_ACID_LEVEL	0.255064	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_AMINO_ACID_LEVEL	0.597015	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_AMINO_ACID_LEVEL	0.533884	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_AMINO_ACID_LEVEL	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_AMINO_ACID_LEVEL	0.022243	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	3.728334	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	1.204283	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	0.653775	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	0.647524	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	3.930737	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_ASSOCIATIVE_LEARNING	2.775608	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	2.304732	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	1.062341	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	0.63091	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	0.590545	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	3.563461	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BEHAVIORAL_RESPONSE_TO_XENOBIOTIC	2.526381	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	0.579918	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	0.568427	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	0.556328	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	0.546875	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_BONE_MINERALIZATION	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	-0.063306	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	0.187627	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	0.476026	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	0.532798	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CALCIUM_ION_HOMEOSTASIS	1.369424	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	0.580325	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	1.299584	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	0.503191	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	0.603198	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	2.945119	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CAUDAL_VERTEBRAE_MORPHOLOGY	2.653749	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	0.747748	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	1.708391	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	0.679174	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	0.746223	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CELLULAR_RESPIRATION	2.255992	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	0.571526	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	0.379685	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	0.636195	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	0.567287	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	0.523648	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CILIUM_MORPHOLOGY	1.57172	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	0.235227	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	0.213777	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	0.488006	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	0.546411	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	0.419483	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_ALKALINE_PHOSPHATASE_LEVEL	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	-0.191567	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	-0.001314	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	0.421153	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	0.479351	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_LIPOPROTEIN_LEVEL	-0.019452	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	-0.232409	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	-0.016836	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	0.428786	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	0.505646	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CIRCULATING_SERUM_ALBUMIN_LEVEL	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	-0.368891	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	-0.342493	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	0.402543	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	0.39884	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_COAT_HAIR_PIGMENTATION	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	0.038528	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	0.414145	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	0.423466	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	0.55915	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_CORNEA_MORPHOLOGY	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	0.570054	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	0.160522	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	0.533363	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	0.520219	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DEPRESSION_RELATED_BEHAVIOR	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	-0.606612	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	-0.468087	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	0.304762	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	0.37963	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_DIGIT_MORPHOLOGY	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	0.132235	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	0.057416	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	0.537721	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	0.4989	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	-inf	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EPIDIDYMIS_MORPHOLOGY	-inf	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	0.853588	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	0.927721	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	0.574822	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	0.662614	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	2.064743	P@TopK	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EXTRACUTANEOUS_PIGMENTATION	1.650154	P@TopK	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EYE_ELECTROPHYSIOLOGY	1.372747	auPRC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EYE_ELECTROPHYSIOLOGY	2.459717	auPRC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EYE_ELECTROPHYSIOLOGY	0.605276	auROC	SL-E	Holdout	MGI	BioGRID
ABNORMAL_EYE_ELECTROPHYSIOLOGY	0.59416	auROC	SL-E	5FCV	MGI	BioGRID
ABNORMAL_EYE_ELECTROPHYSIOLOGY	3.275007	P@TopK	SL-E	Holdout	MGI	BioGRID
